name,n,comparisons,CPU Seconds
iquick sort,30000,557477,0.00658
iquick sort,32000,614651,0.006744
iquick sort,34000,640075,0.006843
iquick sort,36000,667873,0.007962
iquick sort,38000,736444,0.008438
iquick sort,40000,788061,0.008972
iquick sort,42000,769301,0.009136
iquick sort,44000,846965,0.009831
iquick sort,46000,872973,0.009999
iquick sort,48000,976334,0.011476
iquick sort,50000,1020134,0.011688
priority queue sort,2000,36381,0.000824
priority queue sort,4000,80957,0.001789
priority queue sort,6000,128901,0.002782
priority queue sort,8000,178119,0.003822
priority queue sort,10000,229198,0.004911
priority queue sort,12000,281732,0.005976
priority queue sort,14000,334650,0.007047
priority queue sort,16000,387901,0.008233
priority queue sort,18000,443434,0.008691
priority queue sort,20000,498757,0.00969
priority queue sort,22000,555058,0.010602
priority queue sort,24000,611305,0.011776
priority queue sort,26000,668308,0.012772
priority queue sort,28000,725245,0.013917
priority queue sort,30000,782201,0.0154
priority queue sort,32000,840126,0.016446
priority queue sort,34000,898089,0.017242
priority queue sort,36000,957988,0.018312
priority queue sort,38000,1017566,0.019463
priority queue sort,40000,1077888,0.020531
priority queue sort,42000,1137784,0.021775
priority queue sort,44000,1198280,0.022706
priority queue sort,46000,1258676,0.024026
priority queue sort,48000,1319477,0.025011
priority queue sort,50000,1379934,0.026114
