name,n,comparisons,CPU Seconds
priority queue sort,24000,611638,0.011756
priority queue sort,26000,667871,0.012866
priority queue sort,28000,725950,0.014016
priority queue sort,30000,782703,0.015575
priority queue sort,32000,840285,0.016563
priority queue sort,34000,898654,0.017547
priority queue sort,36000,958103,0.01863
priority queue sort,38000,1017770,0.019698
priority queue sort,40000,1077210,0.020655
priority queue sort,42000,1137556,0.02206
priority queue sort,44000,1198173,0.0232
priority queue sort,46000,1258453,0.024228
priority queue sort,48000,1318917,0.025498
priority queue sort,50000,1379468,0.02666
